Organization,Country
Catholic Relief Services,Serbia
CHF International,Serbia
Church World Service,Serbia
Friends of ACTED,Serbia
Global Fund for Children,Serbia
Global Health Council,Serbia
Handicap International USA,Serbia
Institute for Sustainable Communities,Serbia
International Center for Not-for-Profit Law,Serbia
International Orthodox Christian Charities (IOCC),Serbia
International Relief & Development,Serbia
International Youth Foundation,Serbia
Lions Club International Foundation,Serbia
Project C.U.R.E,Serbia
World Learning,Serbia
World Vision,Serbia
Church World Service,Seychelles
Pathfinder International,Angola
GlobalGiving,Seychelles
Lions Club International Foundation,Seychelles
ACDI/VOCA,Sierra Leone
Action Against Hunger | ACF International,Sierra Leone
ActionAid International USA,Sierra Leone
Adventist Development and Relief Agency International,Sierra Leone
Africare,Sierra Leone
American Red Cross International Services,Sierra Leone
AmeriCares,Sierra Leone
Baptist World Alliance,Sierra Leone
BRAC USA,Sierra Leone
Brother's Brother Foundation,Sierra Leone
CARE,Sierra Leone
Catholic Relief Services,Sierra Leone
CBM,Sierra Leone
ChildFund International,Sierra Leone
Christian Reformed World Relief Committee,Sierra Leone
CONCERN Worldwide,Sierra Leone
Direct Relief International,Sierra Leone
Episcopal Relief & Development,Sierra Leone
Giving Children Hope,Sierra Leone
Global Fund for Children,Sierra Leone
Global Health Council,Sierra Leone
GlobalGiving,Sierra Leone
Handicap International USA,Sierra Leone
Heifer International,Sierra Leone
Helen Keller International,Sierra Leone
Helping Hand for Relief and Development,Sierra Leone
International Center for Not-for-Profit Law,Sierra Leone
International Foundation for Electoral Systems (IFES),Sierra Leone
International Medical Corps,Sierra Leone
International Rescue Committee (IRC),Sierra Leone
Jhpiego,Sierra Leone
Latter-day Saint Charities,Sierra Leone
Life for Relief and Development,Sierra Leone
Lions Club International Foundation,Sierra Leone
Management Sciences for Health (MSH),Sierra Leone
Perkins International,Sierra Leone
Plan,Sierra Leone
Project C.U.R.E,Sierra Leone
PCI-Media Impact,Anguilla
PCI-Media Impact,Antigua and Barbuda
ProLiteracy Worldwide,Sierra Leone
Stop Hunger Now,Sierra Leone
Winrock International,Sierra Leone
World Concern,Sierra Leone
World Hope International,Sierra Leone
World Rehabilitation Fund,Sierra Leone
World Vision,Sierra Leone
Baptist World Alliance,Singapore
Global Health Council,Singapore
Global Resource Services,Singapore
Habitat for Humanity International,Singapore
Jesuit Refugee Service,Singapore
Lions Club International Foundation,Singapore
Taiwan Buddhist Tzu Chi Foundation,Singapore
United Way Worldwide,Singapore
World Vision,Singapore
Adventist Development and Relief Agency International,Slovakia
American Jewish Joint Distribution Committee,Slovakia
Baptist World Alliance,Slovakia
Habitat for Humanity International,Slovakia
Perkins International,Antigua and Barbuda
Perkins International,Argentina
Perkins International,Armenia
Heifer International,Slovakia
International Center for Not-for-Profit Law,Slovakia
International Youth Foundation,Slovakia
Lions Club International Foundation,Slovakia
Perkins International,Slovakia
American Jewish Joint Distribution Committee,Slovenia
Baptist World Alliance,Slovenia
International Center for Not-for-Profit Law,Slovenia
Jesuit Refugee Service,Slovenia
Lions Club International Foundation,Slovenia
Adventist Development and Relief Agency International,Solomon Islands
American Red Cross International Services,Solomon Islands
AmeriCares,Solomon Islands
Direct Relief International,Solomon Islands
International Center for Not-for-Profit Law,Solomon Islands
Management Sciences for Health (MSH),Solomon Islands
Taiwan Buddhist Tzu Chi Foundation,Solomon Islands
World Vision,Solomon Islands
Action Against Hunger | ACF International,Somalia
ActionAid International USA,Somalia
Adventist Development and Relief Agency International,Somalia
African Medical & Research Foundation,Somalia
American Friends Service Committee,Somalia
American Jewish World Service,Somalia
American Red Cross International Services,Somalia
AmeriCares,Somalia
Campaign for Innocent Victims in Conflict,Somalia
CARE,Somalia
Catholic Relief Services,Somalia
Church World Service,Somalia
CONCERN Worldwide,Somalia
Direct Relief International,Somalia
Education Development Center (EDC),Somalia
Friends of ACTED,Somalia
Global Health Council,Somalia
GlobalGiving,Somalia
Handicap International USA,Somalia
Helping Hand for Relief and Development,Somalia
International Center for Not-for-Profit Law,Somalia
International Medical Corps,Somalia
International Rescue Committee (IRC),Somalia
Islamic Relief USA,Somalia
Life for Relief and Development,Somalia
Lions Club International Foundation,Somalia
Medical Emergency Relief International (Merlin),Somalia
Mercy Corps,Somalia
Mercy USA for Aid and Development,Somalia
Project C.U.R.E,Somalia
Refugees International,Somalia
Relief International,Somalia
Physicians for Human Rights,Afghanistan
Solidarity Center,Somalia
U.S. Committee for Refugees & Immigrants,Somalia
World Concern,Somalia
World Vision,Somalia
ActionAid International USA,South Africa
Adventist Development and Relief Agency International,South Africa
African Medical & Research Foundation,South Africa
African Methodist Episcopal Service and Development Agency,South Africa
Africare,South Africa
American Jewish World Service,South Africa
AmeriCares,South Africa
Baptist World Alliance,South Africa
Brother's Brother Foundation,South Africa
CARE,South Africa
Catholic Relief Services,South Africa
CBM,South Africa
Centre for Development and Population Activities,South Africa
Christian Reformed World Relief Committee,South Africa
Congressional Hunger Center,South Africa
Direct Relief International,South Africa
Disability Rights Education and Defense Fund (DREDF),South Africa
Giving Children Hope,South Africa
Global Fund for Children,South Africa
Global Health Council,South Africa
GlobalGiving,South Africa
Habitat for Humanity International,South Africa
HelpAge USA,South Africa
INMED Partnerships for Children,South Africa
International Center for Not-for-Profit Law,South Africa
International Center for Research on Women (ICRW),South Africa
International Social Service - United States of America Branch Inc.,South Africa
International Youth Foundation,South Africa
IntraHealth International Inc.,South Africa
Islamic Relief USA,South Africa
Jesuit Refugee Service,South Africa
Jhpiego,South Africa
Lions Club International Foundation,South Africa
Management Sciences for Health (MSH),South Africa
Medical Care Development,South Africa
ONE Campaign,South Africa
One Economy Corporation,South Africa
Pact,South Africa
PATH,South Africa
Pathfinder International,South Africa
PCI (Project Concern International),South Africa
Perkins International,South Africa
Planet Aid,South Africa
Project C.U.R.E,South Africa
ProLiteracy Worldwide,South Africa
Save the Children,South Africa
Solidarity Center,South Africa
Stop Hunger Now,South Africa
Taiwan Buddhist Tzu Chi Foundation,South Africa
The Global FoodBanking Network (GFN),South Africa
Unitarian Universalist Service Committee,South Africa
United Nations Foundation,South Africa
United Way Worldwide,South Africa
Winrock International,South Africa
World Hope International,South Africa
World Vision,South Africa
Adventist Development and Relief Agency International,South Korea
Baptist World Alliance,South Korea
Bethany Christian Service International,South Korea
Direct Relief International,South Korea
Episcopal Relief & Development,South Korea
Global Health Council,South Korea
GlobalGiving,South Korea
Habitat for Humanity International,South Korea
Holt International Children's Services,South Korea
International Youth Foundation,South Korea
Korean American Sharing Movement,South Korea
Lions Club International Foundation,South Korea
PATH,South Korea
United Way Worldwide,South Korea
Action Against Hunger | ACF International,South Sudan
Development Gateway,South Sudan
International Center for Not-for-Profit Law,South Sudan
Save the Children,South Sudan
The Enough Project,South Sudan
ActionAid International USA,Spain
Adventist Development and Relief Agency International,Spain
Baptist World Alliance,Spain
Global Health Council,Spain
GlobalGiving,Spain
International Youth Foundation,Spain
Lions Club International Foundation,Spain
Mobility International USA,Spain
ACDI/VOCA,Sri Lanka
ActionAid International USA,Sri Lanka
Adventist Development and Relief Agency International,Sri Lanka
American Jewish World Service,Sri Lanka
American Red Cross International Services,Sri Lanka
Baptist World Alliance,Sri Lanka
BRAC USA,Sri Lanka
Brother's Brother Foundation,Sri Lanka
CARE,Sri Lanka
Catholic Relief Services,Sri Lanka
CBM,Sri Lanka
ChildFund International,Sri Lanka
Christian Reformed World Relief Committee,Sri Lanka
Church World Service,Sri Lanka
Direct Relief International,Sri Lanka
Episcopal Relief & Development,Sri Lanka
Friends of ACTED,Sri Lanka
Giving Children Hope,Sri Lanka
Global Fund for Children,Sri Lanka
Global Health Council,Sri Lanka
GlobalGiving,Sri Lanka
Habitat for Humanity International,Sri Lanka
Handicap International USA,Sri Lanka
Heartland Alliance,Sri Lanka
HelpAge USA,Sri Lanka
Helping Hand for Relief and Development,Sri Lanka
International Center for Not-for-Profit Law,Sri Lanka
International Foundation for Electoral Systems (IFES),Sri Lanka
International Medical Health Organization (IMHO),Sri Lanka
International Relief & Development,Sri Lanka
International Rescue Committee (IRC),Sri Lanka
International Youth Foundation,Sri Lanka
Jesuit Refugee Service,Sri Lanka
Lions Club International Foundation,Sri Lanka
Lutheran World Relief (LWR),Sri Lanka
Medical Teams International,Sri Lanka
Mercy Corps,Sri Lanka
Operation USA,Sri Lanka
Project C.U.R.E,Afghanistan
Project C.U.R.E,Albania
Project C.U.R.E,Angola
Project C.U.R.E,Argentina
Project C.U.R.E,Armenia
Outreach International,Sri Lanka
PATH,Sri Lanka
Perkins International,Sri Lanka
Plan,Sri Lanka
Relief International,Sri Lanka
ReSurge International,Sri Lanka
Save the Children,Sri Lanka
Society for International Development (SID),Sri Lanka
Solidarity Center,Sri Lanka
Stop Hunger Now,Sri Lanka
Taiwan Buddhist Tzu Chi Foundation,Sri Lanka
United Methodist Committee on Relief,Sri Lanka
World Concern,Sri Lanka
World Hope International,Sri Lanka
World Vision,Sri Lanka
American Red Cross International Services,St. Kitts and Nevis
Americas ReliefTeam,St. Kitts and Nevis
Brother's Brother Foundation,St. Kitts and Nevis
Management Sciences for Health (MSH),St. Kitts and Nevis
Pan American Health and Education Foundation (PAHEF),St. Kitts and Nevis
PCI-Media Impact,St. Kitts and Nevis
American Red Cross International Services,St. Lucia
AmeriCares,St. Lucia
Americas ReliefTeam,St. Lucia
Brother's Brother Foundation,St. Lucia
Food for the Poor (FFP),St. Lucia
GlobalGiving,St. Lucia
International Medical Corps,St. Lucia
International Youth Foundation,St. Lucia
Lions Club International Foundation,St. Lucia
Management Sciences for Health (MSH),St. Lucia
Pan American Development Foundation,St. Lucia
Pan American Health and Education Foundation (PAHEF),St. Lucia
PCI-Media Impact,St. Lucia
Perkins International,St. Lucia
Project C.U.R.E,St. Lucia
AmeriCares,St. Vincent and Grenadines
Americas ReliefTeam,St. Vincent and Grenadines
Brother's Brother Foundation,St. Vincent and Grenadines
ChildFund International,St. Vincent and Grenadines
Direct Relief International,St. Vincent and Grenadines
Food for the Poor (FFP),St. Vincent and Grenadines
Global Health Council,St. Vincent and Grenadines
GlobalGiving,St. Vincent and Grenadines
Lions Club International Foundation,St. Vincent and Grenadines
Pan American Health and Education Foundation (PAHEF),St. Vincent and Grenadines
PCI-Media Impact,St. Vincent and Grenadines
Project C.U.R.E,St. Vincent and Grenadines
ACDI/VOCA,Sudan
Adventist Development and Relief Agency International,Sudan
African Medical & Research Foundation,Sudan
American Jewish World Service,Sudan
American Red Cross International Services,Sudan
American Refugee Committee,Sudan
AmeriCares,Sudan
Baptist World Alliance,Sudan
BRAC USA,Sudan
Brother's Brother Foundation,Sudan
CARE,Sudan
Catholic Relief Services,Sudan
CBM,Sudan
CHF International,Sudan
Christian Reformed World Relief Committee,Sudan
Church World Service,Sudan
CONCERN Worldwide,Sudan
Direct Relief International,Sudan
Education Development Center (EDC),Sudan
Episcopal Relief & Development,Sudan
Friends of ACTED,Sudan
Giving Children Hope,Sudan
Global Health Council,Sudan
GlobalGiving,Sudan
Handicap International USA,Sudan
Heart to Heart International,Sudan
HelpAge USA,Sudan
Helping Hand for Relief and Development,Sudan
IMA World Health,Sudan
Information Management and Mine Action Programs (IMMAP),Sudan
International Foundation for Electoral Systems (IFES),Sudan
International Medical Corps,Sudan
International Relief & Development,Sudan
International Rescue Committee (IRC),Sudan
IntraHealth International Inc.,Sudan
Jesuit Refugee Service,Sudan
Jhpiego,Sudan
Life for Relief and Development,Sudan
Lions Club International Foundation,Sudan
Lutheran World Relief (LWR),Sudan
Management Sciences for Health (MSH),Sudan
Medical Emergency Relief International (Merlin),Sudan
Medical Teams International,Sudan
Mercy Corps,Sudan
Oxfam America,Sudan
Pact,Sudan
Physicians for Human Rights,Sudan
Plan,Sudan
Presbyterian Disaster Assistance,Sudan
Project C.U.R.E,Sudan
Refugees International,Sudan
Relief International,Sudan
Resolve Uganda,Sudan
Save the Children,Sudan
Solar Cookers International,Sudan
Stop Hunger Now,Sudan
The Enough Project,Sudan
Unitarian Universalist Service Committee,Sudan
United Methodist Committee on Relief,Sudan
USA for UNHCR,Sudan
Water for Sudan,Sudan
Winrock International,Sudan
Women for Women International,Sudan
World Concern,Sudan
ProLiteracy Worldwide,Afghanistan
ProLiteracy Worldwide,Albania
ProLiteracy Worldwide,Angola
ProLiteracy Worldwide,Argentina
World Relief,Sudan
World Vision,Sudan
Americas ReliefTeam,Suriname
Family Care International,Suriname
Management Sciences for Health (MSH),Suriname
World Wildlife Fund (WWF),Suriname
Action Against Hunger | ACF International,Swaziland
ActionAid International USA,Swaziland
Adventist Development and Relief Agency International,Swaziland
African Medical & Research Foundation,Swaziland
AmeriCares,Swaziland
Brother's Brother Foundation,Swaziland
Catholic Relief Services,Swaziland
CBM,Swaziland
Giving Children Hope,Swaziland
GlobalGiving,Swaziland
Heart to Heart International,Swaziland
International Relief & Development,Swaziland
IntraHealth International Inc.,Swaziland
Jhpiego,Swaziland
Lions Club International Foundation,Swaziland
Management Sciences for Health (MSH),Swaziland
Pact,Swaziland
PATH,Swaziland
Project C.U.R.E,Swaziland
Solidarity Center,Swaziland
Stop Hunger Now,Swaziland
Taiwan Buddhist Tzu Chi Foundation,Swaziland
Winrock International,Swaziland
World Vision,Swaziland
ActionAid International USA,Sweden
Adventist Development and Relief Agency International,Sweden
Baptist World Alliance,Sweden
International Rescue Committee (IRC),Sweden
International Youth Foundation,Sweden
Jesuit Refugee Service,Sweden
Lions Club International Foundation,Sweden
The Hunger Project,Sweden
World Society for the Protection of Animals,Sweden
Adventist Development and Relief Agency International,Switzerland
Aga Khan Foundation USA,Switzerland
Baptist World Alliance,Switzerland
Global Health Council,Switzerland
International Catholic Migration Commission (ICMC),Switzerland
Refugees International,Afghanistan
International Rescue Committee (IRC),Switzerland
International Social Service - United States of America Branch Inc.,Switzerland
International Youth Foundation,Switzerland
Lions Club International Foundation,Switzerland
The Hunger Project,Switzerland
World Vision,Switzerland
Action Against Hunger | ACF International,Syria
Aga Khan Foundation USA,Syria
Baptist World Alliance,Syria
Catholic Relief Services,Syria
CBM,Syria
Church World Service,Syria
Giving Children Hope,Syria
International Catholic Migration Commission (ICMC),Syria
International Medical Corps,Syria
International Orthodox Christian Charities (IOCC),Syria
International Rescue Committee (IRC),Syria
Jesuit Refugee Service,Syria
Life for Relief and Development,Syria
Lions Club International Foundation,Syria
Mercy Corps,Syria
Relief International,Afghanistan
Refugees International,Syria
Baptist World Alliance,Taiwan
Catholic Relief Services,Taiwan
International Youth Foundation,Taiwan
ACDI/VOCA,Tajikistan
Adventist Development and Relief Agency International,Tajikistan
Aga Khan Foundation USA,Tajikistan
American Jewish Joint Distribution Committee,Tajikistan
American Red Cross International Services,Tajikistan
CARE,Tajikistan
Catholic Relief Services,Tajikistan
CBM,Tajikistan
Counterpart International,Tajikistan
Friends of ACTED,Tajikistan
Giving Children Hope,Tajikistan
Global Fund for Children,Tajikistan
Global Health Council,Tajikistan
GlobalGiving,Tajikistan
Habitat for Humanity International,Tajikistan
Handicap International USA,Tajikistan
Heart to Heart International,Tajikistan
HelpAge USA,Tajikistan
International Center for Not-for-Profit Law,Tajikistan
International Foundation for Electoral Systems (IFES),Tajikistan
Management Sciences for Health (MSH),Tajikistan
Mercy Corps,Tajikistan
PATH,Tajikistan
Project C.U.R.E,Tajikistan
Relief International,Tajikistan
Save the Children,Tajikistan
Stop Hunger Now,Tajikistan
Winrock International,Tajikistan
ActionAid International USA,Tanzania
Adventist Development and Relief Agency International,Tanzania
African Medical & Research Foundation,Tanzania
Africare,Tanzania
Aga Khan Foundation USA,Tanzania
American Red Cross International Services,Tanzania
AmeriCares,Tanzania
Baptist World Alliance,Tanzania
BRAC USA,Tanzania
Brother's Brother Foundation,Tanzania
CARE,Tanzania
Catholic Relief Services,Tanzania
CBM,Tanzania
Christian Reformed World Relief Committee,Tanzania
Church World Service,Tanzania
CONCERN Worldwide,Tanzania
Congressional Hunger Center,Tanzania
Development Gateway,Tanzania
Save the Children,Afghanistan
Save the Children,Angola
Save the Children,Argentina
Save the Children,Armenia
Save the Children,Australia
Direct Relief International,Tanzania
Education Development Center (EDC),Tanzania
Episcopal Relief & Development,Tanzania
Giving Children Hope,Tanzania
Global Health Council,Tanzania
GlobalGiving,Tanzania
Habitat for Humanity International,Tanzania
Handicap International USA,Tanzania
Heart to Heart International,Tanzania
Heifer International,Tanzania
Helen Keller International,Tanzania
HelpAge USA,Tanzania
IMA World Health,Tanzania
International Center for Research on Women (ICRW),Tanzania
International Rescue Committee (IRC),Tanzania
International Youth Foundation,Tanzania
IntraHealth International Inc.,Tanzania
Jhpiego,Tanzania
Lions Club International Foundation,Tanzania
Lutheran World Relief (LWR),Tanzania
Management Sciences for Health (MSH),Tanzania
Millennium Promise,Tanzania
Pact,Tanzania
PATH,Tanzania
Pathfinder International,Tanzania
PCI (Project Concern International),Tanzania
Perkins International,Tanzania
Plan,Tanzania
Plant with Purpose,Tanzania
Project C.U.R.E,Tanzania
ProLiteracy Worldwide,Tanzania
Save the Children,Tanzania
Seva Foundation,Tanzania
Solar Cookers International,Tanzania
Solidarity Center,Tanzania
Stop Hunger Now,Tanzania
Taiwan Buddhist Tzu Chi Foundation,Tanzania
Unitarian Universalist Service Committee,Tanzania
United Nations Foundation,Tanzania
Water Aid America,Tanzania
WellShare International,Tanzania
Winrock International,Tanzania
World Neighbors,Tanzania
World Society for the Protection of Animals,Tanzania
World Vision,Tanzania
World Wildlife Fund (WWF),Tanzania
ActionAid International USA,Thailand
Adventist Development and Relief Agency International,Thailand
American Jewish World Service,Thailand
American Refugee Committee,Thailand
AmeriCares,Thailand
Ananda Marga Universal Relief Team,Thailand
Baptist World Alliance,Thailand
Brother's Brother Foundation,Thailand
CARE,Thailand
Catholic Relief Services,Thailand
CBM,Thailand
ChildFund International,Thailand
Church World Service,Thailand
Direct Relief International,Thailand
Education Development Center (EDC),Thailand
Educational Concerns for Hunger Organization (ECHO),Thailand
Giving Children Hope,Thailand
Global Fund for Children,Thailand
Global Health Council,Thailand
GlobalGiving,Thailand
Habitat for Humanity International,Thailand
Handicap International USA,Thailand
Heifer International,Thailand
HelpAge USA,Thailand
Holt International Children's Services,Thailand
Information Management and Mine Action Programs (IMMAP),Thailand
Society for International Development (SID),Argentina
Society for International Development (SID),Australia
International Foundation for Electoral Systems (IFES),Thailand
International Rescue Committee (IRC),Thailand
International Youth Foundation,Thailand
Jesuit Refugee Service,Thailand
Jhpiego,Thailand
Lions Club International Foundation,Thailand
Operation Blessing International Relief and Development Corporation,Thailand
Operation USA,Thailand
Pact,Thailand
PATH,Thailand
Perkins International,Thailand
Plan,Thailand
Plant with Purpose,Thailand
Project C.U.R.E,Thailand
ProLiteracy Worldwide,Thailand
Refugees International,Thailand
Save the Children,Thailand
Solar Cookers International,Thailand
Solidarity Center,Thailand
Stop Hunger Now,Thailand
Taiwan Buddhist Tzu Chi Foundation,Thailand
U.S. Committee for Refugees & Immigrants,Thailand
United Way Worldwide,Thailand
Winrock International,Thailand
World Concern,Thailand
World Society for the Protection of Animals,Thailand
World Vision,Thailand
World Wildlife Fund (WWF),Thailand
Solidarity Center,Algeria
PCI-Media Impact,The British Virgin Islands
ActionAid International USA,The Gambia
Adventist Development and Relief Agency International,The Gambia
African Medical & Research Foundation,The Gambia
AmeriCares,The Gambia
Baptist World Alliance,The Gambia
Catholic Relief Services,The Gambia
ChildFund International,The Gambia
Global Health Council,The Gambia
GlobalGiving,The Gambia
Helping Hand for Relief and Development,The Gambia
International Relief & Development,The Gambia
Lions Club International Foundation,The Gambia
Management Sciences for Health (MSH),The Gambia
Oxfam America,The Gambia
PATH,The Gambia
Perkins International,The Gambia
Project C.U.R.E,The Gambia
Taiwan Buddhist Tzu Chi Foundation,The Gambia
Winrock International,The Gambia
ACDI/VOCA,Timor-Leste
Brother's Brother Foundation,Timor-Leste
CARE,Timor-Leste
Catholic Relief Services,Timor-Leste
CBM,Timor-Leste
ChildFund International,Timor-Leste
CONCERN Worldwide,Timor-Leste
Congressional Hunger Center,Timor-Leste
Education Development Center (EDC),Timor-Leste
Global Fund for Children,Timor-Leste
Global Health Council,Timor-Leste
Habitat for Humanity International,Timor-Leste
International Foundation for Electoral Systems (IFES),Timor-Leste
Jesuit Refugee Service,Timor-Leste
Lions Club International Foundation,Timor-Leste
Management Sciences for Health (MSH),Timor-Leste
Mercy Corps,Timor-Leste
Plan,Timor-Leste
Taiwan Buddhist Tzu Chi Foundation,Timor-Leste
Water Aid America,Timor-Leste
Winrock International,Timor-Leste
World Neighbors,Timor-Leste
World Vision,Timor-Leste
Adventist Development and Relief Agency International,Togo
American Red Cross International Services,Togo
AmeriCares,Togo
Baptist World Alliance,Togo
CARE,Togo
Catholic Relief Services,Togo
CBM,Togo
ChildFund International,Togo
Development Gateway,Togo
Freedom from Hunger,Togo
Stop Hunger Now,Afghanistan
Stop Hunger Now,Albania
Stop Hunger Now,Algeria
Stop Hunger Now,Angola
Global Health Council,Togo
GlobalGiving,Togo
Handicap International USA,Togo
IMA World Health,Togo
Lions Club International Foundation,Togo
Management Sciences for Health (MSH),Togo
Plan,Togo
Project C.U.R.E,Togo
American Red Cross International Services,Tonga
Brother's Brother Foundation,Tonga
Catholic Relief Services,Tonga
Lions Club International Foundation,Tonga
Project C.U.R.E,Tonga
Adventist Development and Relief Agency International,Trinidad and Tobago
AmeriCares,Trinidad and Tobago
Americas ReliefTeam,Trinidad and Tobago
Baptist World Alliance,Trinidad and Tobago
Brother's Brother Foundation,Trinidad and Tobago
Food for the Poor (FFP),Trinidad and Tobago
Global Health Council,Trinidad and Tobago
Habitat for Humanity International,Trinidad and Tobago
INMED Partnerships for Children,Trinidad and Tobago
Lions Club International Foundation,Trinidad and Tobago
Management Sciences for Health (MSH),Trinidad and Tobago
PCI-Media Impact,Trinidad and Tobago
Project C.U.R.E,Trinidad and Tobago
United Way Worldwide,Trinidad and Tobago
Adventist Development and Relief Agency International,Tunisia
American Jewish Joint Distribution Committee,Tunisia
American Red Cross International Services,Tunisia
GlobalGiving,Tunisia
Handicap International USA,Tunisia
International Center for Not-for-Profit Law,Tunisia
International Foundation for Electoral Systems (IFES),Tunisia
International Medical Corps,Tunisia
Islamic Relief USA,Tunisia
Lions Club International Foundation,Tunisia
PATH,Tunisia
Project C.U.R.E,Tunisia
ProLiteracy Worldwide,Tunisia
Society for International Development (SID),Tunisia
Solidarity Center,Tunisia
Adventist Development and Relief Agency International,Turkey
American Jewish Joint Distribution Committee,Turkey
American Red Cross International Services,Turkey
Catholic Relief Services,Turkey
Global Fund for Children,Turkey
Global Health Council,Turkey
GlobalGiving,Turkey
Habitat for Humanity International,Turkey
International Catholic Migration Commission (ICMC),Turkey
International Center for Not-for-Profit Law,Turkey
International Youth Foundation,Turkey
Jesuit Refugee Service,Turkey
Lions Club International Foundation,Turkey
One Economy Corporation,Turkey
Perkins International,Turkey
Physicians for Peace,Turkey
Project C.U.R.E,Turkey
Stop Hunger Now,Turkey
Taiwan Buddhist Tzu Chi Foundation,Turkey
The Global FoodBanking Network (GFN),Turkey
USA for UNHCR,Turkey
American Jewish Joint Distribution Committee,Turkmenistan
American Red Cross International Services,Turkmenistan
International Center for Not-for-Profit Law,Turkmenistan
Management Sciences for Health (MSH),Turkmenistan
PATH,Turkmenistan
Taiwan Buddhist Tzu Chi Foundation,Afghanistan
Taiwan Buddhist Tzu Chi Foundation,Argentina
Taiwan Buddhist Tzu Chi Foundation,Australia
American Red Cross International Services,Tuvalu
ACDI/VOCA,Uganda
Action Against Hunger | ACF International,Uganda
ActionAid International USA,Uganda
Adventist Development and Relief Agency International,Uganda
African Medical & Research Foundation,Uganda
Africare,Uganda
Aga Khan Foundation USA,Uganda
Air Serv International,Uganda
American Jewish World Service,Uganda
American Red Cross International Services,Uganda
American Refugee Committee,Uganda
AmeriCares,Uganda
Ananda Marga Universal Relief Team,Uganda
Baptist World Alliance,Uganda
BRAC USA,Uganda
Brother's Brother Foundation,Uganda
CARE,Uganda
Catholic Relief Services,Uganda
CBM,Uganda
ChildFund International,Uganda
Christian Reformed World Relief Committee,Uganda
Church World Service,Uganda
CONCERN Worldwide,Uganda
Congressional Hunger Center,Uganda
Creative Learning,Uganda
Development Gateway,Uganda
Direct Relief International,Uganda
Education Development Center (EDC),Uganda
Friends of ACTED,Uganda
Giving Children Hope,Uganda
Global Fund for Children,Uganda
Global Health Council,Uganda
GlobalGiving,Uganda
Habitat for Humanity International,Uganda
Handicap International USA,Uganda
Heart to Heart International,Uganda
Heifer International,Uganda
HelpAge USA,Uganda
Holt International Children's Services,Uganda
International Center for Not-for-Profit Law,Uganda
International Center for Research on Women (ICRW),Uganda
International Foundation for Electoral Systems (IFES),Uganda
International Rescue Committee (IRC),Uganda
International Youth Foundation,Uganda
IntraHealth International Inc.,Uganda
Jesuit Refugee Service,Uganda
Jhpiego,Uganda
Latter-day Saint Charities,Uganda
Lions Club International Foundation,Uganda
Lutheran World Relief (LWR),Uganda
Management Sciences for Health (MSH),Uganda
MAP International,Uganda
Medical Teams International,Uganda
Mercy Corps,Uganda
Millennium Promise,Uganda
One Economy Corporation,Uganda
PATH,Uganda
Pathfinder International,Uganda
Perkins International,Uganda
Plan,Uganda
Project C.U.R.E,Uganda
ProLiteracy Worldwide,Uganda
Relief International,Uganda
Resolve Uganda,Uganda
Save the Children,Uganda
Solar Cookers International,Uganda
Solidarity Center,Uganda
Stop Hunger Now,Uganda
The Enough Project,Uganda
The Hunger Project,Uganda
Unitarian Universalist Service Committee,Uganda
The Global FoodBanking Network (GFN),Argentina
The Global FoodBanking Network (GFN),Australia
United Nations Foundation,Uganda
United Way Worldwide,Uganda
Water Aid America,Uganda
WellShare International,Uganda
Winrock International,Uganda
World Concern,Uganda
World Learning,Uganda
World Vision,Uganda
Adventist Development and Relief Agency International,Ukraine
American Jewish Joint Distribution Committee,Ukraine
American Red Cross International Services,Ukraine
Baptist World Alliance,Ukraine
Bethany Christian Service International,Ukraine
Brother's Brother Foundation,Ukraine
Counterpart International,Ukraine
The Hunger Project,Australia
Direct Relief International,Ukraine
Giving Children Hope,Ukraine
Global Health Council,Ukraine
GlobalGiving,Ukraine
Habitat for Humanity International,Ukraine
Heart to Heart International,Ukraine
Hebrew Immigrant Aid Society,Ukraine
Heifer International,Ukraine
International Center for Not-for-Profit Law,Ukraine
International Foundation for Electoral Systems (IFES),Ukraine
International Relief & Development,Ukraine
International Rescue Committee (IRC),Ukraine
Jesuit Refugee Service,Ukraine
Lions Club International Foundation,Ukraine
Management Sciences for Health (MSH),Ukraine
Operation Blessing International Relief and Development Corporation,Ukraine
Pact,Ukraine
PATH,Ukraine
Project C.U.R.E,Ukraine
Solidarity Center,Ukraine
Stop Hunger Now,Ukraine
Taiwan Buddhist Tzu Chi Foundation,Ukraine
Global Health Council,United Arab Emirates
International Center for Not-for-Profit Law,United Arab Emirates
Life for Relief and Development,United Arab Emirates
Lions Club International Foundation,United Arab Emirates
ActionAid International USA,United Kingdom
Adventist Development and Relief Agency International,United Kingdom
Aga Khan Foundation USA,United Kingdom
Baptist World Alliance,United Kingdom
BRAC USA,United Kingdom
Global Health Council,United Kingdom
GlobalGiving,United Kingdom
Habitat for Humanity International,United Kingdom
Humane Society International (HSI),United Kingdom
International Rescue Committee (IRC),United Kingdom
International Social Service - United States of America Branch Inc.,United Kingdom
International Youth Foundation,United Kingdom
Jesuit Refugee Service,United Kingdom
Lions Club International Foundation,United Kingdom
ONE Campaign,United Kingdom
PATH,United Kingdom
Population Action International,United Kingdom
Religions for Peace,United Kingdom
Seva Foundation,United Kingdom
Taiwan Buddhist Tzu Chi Foundation,United Kingdom
The Global FoodBanking Network (GFN),United Kingdom
The Hunger Project,United Kingdom
United Nations Foundation,United Kingdom
United Way Worldwide,United Kingdom
